fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.050704,9.48912,16.1034,1.83453,15.2885,1.90129,0.700803,1.71195,
0.016255,3.95771,9.84628,0.319058,12.258,15.6295,0.041713,0.010547,
0.013739,1.42255,2.57813,0.299626,12.197,12.5737,0.068758,0.007454,
0.014555,1.34744,3.54137,0.297052,12.6071,12.5106,0.088411,0.008246,
0.014721,4.35587,14.7812,0.316419,12.8099,12.9403,0.257064,0.007426,
0.015417,1.24813,2.58001,0.305652,12.7989,13.1337,0.068667,0.007576,
0.01518,0.956024,2.5589,0.299185,18.9136,13.1152,0.067792,0.014496,
0.015414,1.1037,2.75935,0.30498,12.8754,19.2362,0.082439,0.011118,
0.01488,2.17361,7.4389,0.291718,13.2558,13.1841,0.179421,0.007986,
0.015398,4.91437,13.7383,0.291539,12.9834,13.5655,0.242239,0.007405,
0.015125,4.78073,13.2357,0.292896,19.9589,13.2938,4.23876,0.008524,
0.022841,4.50446,10.4537,0.411483,14.2748,20.3962,19.709,0.029978,
0.015958,1.17664,2.5004,0.311424,14.007,14.6051,13.6191,0.008621,
0.015613,1.19981,2.41403,0.310914,14.2387,14.3356,13.5426,0.008638,
0.015993,1.18561,2.40306,0.334478,14.4441,14.5911,13.9839,0.008439,
0.019442,1.24309,3.20742,0.434216,15.0231,14.9001,14.1789,0.0138,
0.016171,1.1912,2.42259,0.319992,21.724,15.3615,14.1474,0.008237,
0.016429,1.17415,2.3648,0.325651,14.8382,22.0686,20.2835,0.008976,
0.015626,1.16519,2.46508,0.322087,12.2967,15.1778,14.2084,0.008227,
0.016111,1.25305,2.50278,0.321411,8.45875,12.6361,14.5851,0.008527,
0.015735,1.20738,2.48197,0.319673,11.8768,8.79596,14.317,0.008045,
0.016316,1.22023,2.55005,0.322651,12.8965,12.2177,21.4679,0.00861,
0.021883,1.27895,2.63581,0.446067,8.77997,13.3672,15.6966,0.017848,
0.016218,1.01473,2.62838,0.325278,8.36927,9.12385,15.4106,0.009488,
0.016339,1.23905,2.60611,0.326445,8.26424,8.71385,15.6889,0.009004,
0.021748,1.05032,2.76098,0.344485,13.035,8.63262,16.0075,0.013539,
0.02082,1.3458,2.77057,0.327682,4.73459,13.3863,16.4405,0.013945,
0.01679,1.90009,3.07288,0.329069,8.92083,5.08217,23.1533,0.008972,
0.016786,1.00317,2.74141,0.3291,11.0251,9.26854,16.2587,0.009111,
0.021822,0.981725,2.70663,0.171774,7.69824,11.2206,13.7318,0.014896,
0.017534,1.0067,2.68254,0.168068,7.70104,7.88547,10.1499,0.009695,
0.017477,1.25738,3.47071,0.186261,41.7727,7.90645,13.3255,0.010521,
0.04225,0.979325,2.66653,0.322925,11.3747,42.143,14.481,0.023865,
0.029863,1.1062,2.70167,0.220701,7.83062,11.6287,10.2578,0.016379,
0.022983,0.980234,2.6758,0.169979,7.76291,8.0253,9.85718,0.012435,
0.017064,1.3452,3.54581,0.178982,11.2739,7.96076,9.77567,0.008436,
0.022398,1.02923,2.70975,0.172239,7.83975,11.4704,14.4916,0.013271,
0.02234,0.997582,2.6966,0.170158,7.86272,8.03406,6.2113,0.012775,
0.0173,0.98717,2.70277,0.172023,7.95493,8.05362,10.4025,0.009563,
0.017414,1.06359,2.08301,0.171395,11.3305,8.14581,11.7845,0.009831,
0.017016,1.00843,1.98661,0.170095,11.4094,11.5193,8.44197,0.00901,
0.01794,0.995923,1.97073,0.172506,11.5189,11.6019,8.47354,0.00938,
0.017684,0.980688,1.94495,0.170621,11.4951,11.7089,45.2602,0.009321,
0.017715,6.3945,8.01656,0.171744,12.655,11.6865,12.6147,0.010355,
0.017683,1.3074,2.44267,0.170422,16.197,12.8447,8.60161,0.009312,
0.017928,0.998529,1.98397,0.172605,8.74293,16.3895,8.52879,0.010355,
0.023614,0.979901,1.96527,0.235525,12.4961,9.00546,12.051,0.030853,
0.018252,1.36915,2.42116,0.171828,8.07882,12.6881,8.6092,0.010303,
0.017546,1.27696,2.01326,0.171096,12.7658,8.26915,8.61761,0.009416,
0.018216,0.966007,1.96482,0.171976,8.11493,12.958,8.71383,0.010382,
0.018715,1.02408,2.00601,0.173057,12.9686,8.30859,12.0911,0.010153,
0.018158,1.03676,1.99782,0.173717,21.5516,13.1623,12.1678,0.009132,
0.01969,1.00196,2.05436,0.176295,11.673,21.7495,12.2796,0.010026,
0.018987,1.017,2.07005,0.173565,8.83348,11.8672,12.2522,0.009259,
0.018849,1.01301,1.97007,0.17401,8.24586,9.02812,13.4248,0.00961,
0.022539,1.04058,2.02743,0.173974,15.903,8.44463,16.9708,0.014792,
0.023431,0.984121,1.95464,0.173902,11.8573,16.1021,9.6053,0.014457,
0.024549,0.981065,1.93949,0.171539,12.0432,12.0553,13.512,0.013916,
0.024942,1.02015,1.96967,0.174661,8.3214,12.2448,8.83399,0.014166,
0.02342,1.03714,1.99396,0.177865,12.0447,8.52453,13.5386,0.014092,
0.023568,0.992535,1.95743,0.171996,8.12356,12.2422,8.92137,0.014577,
0.02389,1.03585,1.92804,0.174405,11.8731,8.3237,13.7222,0.013653,
0.018508,0.982498,1.97977,0.17405,8.06425,12.0673,22.4545,0.010649,
0.021187,1.32331,2.01283,0.203151,12.2394,8.291,12.4329,0.023089,
0.018629,1.29884,2.49072,0.171725,11.7176,12.4321,9.60624,0.01482,
0.017935,0.989258,2.02001,0.174009,8.19975,11.9121,9.02156,0.010136,
0.017463,1.02028,1.97398,0.174163,12.3404,8.39325,16.6898,0.010087,
0.017836,1.07081,2.0473,0.174942,8.10321,12.535,12.6472,0.009816,
0.016797,0.988514,1.99365,0.169973,11.824,8.2916,12.8275,0.010257,
